Description,Synonyms
Paget's disease,"[""paget's disease os"", 'paget bone disease', ""paget's disease nos"", ""bone paget's disease"", 'pagets (bone) disease', 'osteitis deformans', ""paget's disease of the bone"", 'pagets disease of bone', ""paget's disease of bone"", 'paget disease of bone', ""paget's disease nos (disorder)"", ""paget's bone disease"", 'disease;pagets (bone)', ""unspecified paget's disease of bone"", 'paget disease bone', ""osseous paget's disease"", 'paget dis of bone', 'pagets disease, bone', 'paget disease', ""paget's disease of bone (disorder)"", 'deformans; osteitis', 'paget disease, bone', 'osteitis deformans; paget', 'paget; osteitis deformans', ""osteitis deformans [paget's disease of bone]"", 'osteitis deformans [disease/finding]', ""paget's disease of bone [osteitis deformans]"", 'bone paget disease', 'osteitis; deformans', 'pagets disease (bone)', ""paget's disease of bone, unspecified"", 'pagets dis of bone', 'paget; bone', 'bone; paget', 'osteitis deformans (disorder)', ""paget's disease"", ""paget's disease os (disorder)"", ""paget's disease (diagnosis)"", 'pdb', ""paget's disease"", ""paget's cell neoplasm"", 'paget disease', 'paget cell neoplasm']"
Aortic stiffness,"['aortic stiffness', 'aortic stiffnesses', 'stiffness, aortic']"
childhood eosinophilic esophagitis,[]
leukopenia,"['decreased blood leukocyte number', 'leukopenia', 'leukocytopenias', 'leukopenia (disorder)', 'leukocytopenia', 'leukopenia nos', 'leukopenia, nos', 'leukopenia [disease/finding]', 'leucocytopenia', 'decreased blood leukocyte number (finding)', 'leucopenia (finding)', 'leucopenia (disorder)', 'decreased blood leucocyte number', 'leukopenias', 'leukocytopenia nos', 'leucopenia', 'leukocytopenia, unspecified', 'leukopenia (diagnosis)', 'leucopenia, nos', 'white blood cell decreased']"
type 1 diabetes nephropathy,[]
Menarche (age at onset),[]
Weight,"['weighted', 'weight', 'weights (qualifier value)', 'weighting', 'weights', '028 weights', 'infant weight for previous delivery (history)', 'history of infant weight for previous delivery', 'weight', 'infant weight for previous delivery', 'body weight:mass:point in time:^patient:quantitative', 'body weight:mass:pt:^patient:qn', 'weight', 'body weight', 'weighting', 'weight', 'importance weight', 'weighted', 'weighing', 'bodies weight', 'weight', 'body weights', 'weighing patient', 'weighting', 'weighing patient (procedure)', 'body weight', ""measuring someone's weight"", 'weight (physical finding)', 'weight (body)', 'weights, body', 'weighted', 'body weight, nos', 'bodies weight', 'weight', 'body weight - observation', 'body weights', 'weighting', 'body weight [disease/finding]', 'bw', 'weight, body', 'body weight', 'body weight [dup] (observable entity)', 'body weight (observable entity)', 'weight', 'weight symptom nos', 'weight (symptom)', 'weight symptom (finding)', 'weight symptom', 'weight symptom nos (finding)']"
Prothrombin time,"['prothrombin test', 'prothrombin time', 'test;prothrombin time', 'times, prothrombin', 'protime', 'pt', 'pt - prothrombin time', 'one stage prothrombin time (procedure)', 'pt assay', 'prothrombin time assay', 'quick one stage prothrombin time', 'pro-thrombin time', 'plasma prothrombin test', 'prothrombin time (pt) test', 'time, prothrombin', 'one stage prothrombin time', 'ptt - prothrombin time', 'prothrombin times', 'prothrombin time test', 'prothrombin time (pt)', 'quick one-stage prothrombin time', 'prothrombin time (procedure)', 'prothrombin time (pt) (lab test)']"
Urinary bladder cancer,"['malignant neoplasm of the urinary bladder', 'malignant urinary bladder tumor', 'malignant tumor, urinary bladder', 'bladder cancers', 'malignant tumor of urinary bladder (disorder)', 'malignant tumor of the bladder', 'malignant neoplasm, bladder', 'malign tumor urinary bladder', 'malignant neoplasm of urinary bladder nos (disorder)', 'bladder neoplasms malignant', 'bladder cancer', 'malignant neoplasm of urinary bladder nos', 'ca - bladder cancer', 'malig neop bladder nos', 'malignant bladder tumor', 'cancer, bladder', 'malignant neoplasm of bladder, nos', 'cancer of bladder', 'malignant neoplasm of bladder', 'cancer, urinary bladder', 'urinary bladder malignant neoplasm', 'malignant neoplasm of bladder, part unspecified', 'malignant neoplasm of the bladder', 'urinary bladder malignant tumor', 'ca bladder', 'neoplasm malig;bladder', 'malignant urinary bladder neoplasm', 'bladder cancer malignant', 'malignant neosplasm of the bladder', 'bladder cancer nos', 'malign tumour urinary bladder', 'malignant neoplasm of bladder, unspecified', 'malignant neoplasm of urinary bladder', 'malignant bladder neoplasm', 'malig neo bladder nos', 'bladder ca', 'malignant tumor of bladder', 'malig neop of bladder', 'malignant neoplasm, urinary bladder', 'malignant tumour of urinary bladder', 'bladder, unspecified', 'bladder cancer (diagnosis)', 'urinary bladder cancer', 'cancer of the bladder', 'malignant tumor of the urinary bladder', 'malignant neoplasm of bladder (diagnosis)', 'malignant tumor of urinary bladder', 'urinary bladder carcinoma', 'cancer of urinary bladder', 'carcinoma of bladder', 'bladder carcinoma urinary', 'carcinoma of bladder (disorder)', 'carcinoma of bladder (diagnosis)', 'carcinoma urinary bladder', 'carcinoma of the bladder', 'carcinoma of the urinary bladder', 'bladder cancer', 'carcinoma bladder', 'cancer of the urinary bladder', 'bladder carcinoma nos', 'urinary bladder cancer', 'cancer of the bladder', 'cancer of bladder', 'carcinoma of urinary bladder', 'bladder carcinoma', 'bladder cancer, carcinoma', 'carcinoma;bladder']"
Epilepsy,"['fit; epileptic', 'epilepsis', 'convulsion epileptic', 'syndrome seizure', 'ef - epileptic fit', 'epilepsy', 'convulsions; epileptic', 'seizures syndromes', 'epilepsy [disease/finding]', 'epilepsy nos (disorder)', 'epilepsia', 'syndrome; epileptic', 'disorders seizures', 'seizure;epileptic', 'disorder seizure', 'epilepsy; fit', 'epileptic convulsions, nos', 'seizures, epileptic', 'epileptic disorder, nos', 'epileptic attack, nos', '(epilepsy) or (epileptic attack)', 'epileptic; syndrome', 'epilepsy; cerebral', '(epilepsy) or (epileptic attack) (disorder)', 'disorders seizure', 'attack - epileptic', 'epilepsy (disorder)', 'epileptic', 'epilepsies', 'caducus; morbus', 'epileptic seizures', 'morbus; caducus', 'seizure disorder nos', 'epileptic fits, nos', 'seizure disorder', 'epileptic fits', 'epilepsy types', 'a-30 clinical epilepsy diagnoses', 'seizure disorder (diagnosis)', 'seizure syndromes', 'epileptic fits nos', 'a-30-31 clinical epileptic syndromes and seizures', 'epileptic fit', 'seizure, epileptic', 'seizure epileptic', 'epilepsy (diagnosis)', 'epilepsy, nos', 'epileptic convulsions nos', 'epilepsy nos', 'epilectic attack, nos', 'attacks epileptic', 'epilepsy; seizure', 'disorder epilepsy', 'seizure disorders', 'epilepsy all types', 'ep - epilepsy', 'epileptic seizure', 'epileptic attack', 'epileptic; convulsions', 'disorders epileptic', 'epileptics', 'epilepsy, unspecified', 'seizure disorder (disorder)', 'epileptic seizure (finding)', 'disorder seizures', 'clinical epileptic syndromes and seizures', 'epilepsy; cortical', 'seizure; epileptic', 'seizure syndrome', 'seizures syndrome', 'epileptic seizures nos', 'epileptic seizures, nos', 'epileptic disorder', 'seizure dis', 'epileptic convulsions', 'cerebral; epileptic', 'clinical epilepsy diagnoses']"
gestational diabetes,"['gestational diabetes mellitus nos', 'gestational diabetes mellitus, nos', 'diabetes mellitus, pregnancy related', 'diabetes mel aris in pregnancy', 'diabetes pregn ind', 'diabetes mellitus arising in pregnancy', 'maternal gestational diabetes mellitus', 'diabetes;during pregnancy', 'gestational diabetes mellitus (disorder)', 'gdm', 'diabetes, gestational', 'diabetes mellitus, gestational', 'gestational diabetes mellitus (diagnosis)', 'maternal gestational diabetes mellitus (disorder)', 'diabetes mellitus gestational', 'diabetes in pregnancy', 'diabetes, pregnancy induced', 'pregnancy-induced diabetes', 'diabetes, pregnancy-induced', 'diabetes pregnancy', 'pregnancy induced diabetes', 'gdm - gestational diab mellit', 'diabetes, gestational [disease/finding]', 'maternal diabetes', 'gestational diabetes', 'gdm - gestational diabetes mellitus', 'diabetes during pregnancy', 'diabetes mellitus (gestational)', 'gestational diabetes mellitus', 'diabetes and pregnancy']"
Height,"['heights', 'height (physical finding)', 'height']"
tpe interval measurement,[]
Vaspin levels,[]
cleft lip,"['lip; cleft', 'cleft lip nos (disorder)', 'hare lip', 'harelip', 'lip, cleft', 'cleft lip (diagnosis)', 'cleft lip nos', 'cleft; lip', 'labium leporinum', 'cleft lip, unspecified (disorder)', 'cleft lip', 'cl - cleft lip', 'cleft lip [disease/finding]', 'harelips', 'cleft lips', 'cleft lip (physical finding)', 'cleft lip, nos', 'congenital fissure of lip', 'lip; fissure, congenital', 'cleft lip (disorder)', 'lip cleft', 'lips, cleft', 'cleft lip, unspecified', 'cheiloschisis']"
ewing sarcoma,"['nci ctep simple disease classification ewing sarcoma sub-category terminology', 'ewing sarcoma', 'nci ctep sdc ewing sarcoma sub-category terminology', ""sarcoma, ewing's"", 'sarcoma ewings', ""ewing's tumor"", 'ewings sarcoma', ""ewing's family of tumors"", ""ewing's tumour"", ""ewing's tumors"", 'es', ""tumor, ewing's"", ""ewing's sarcoma nos"", 'sarcoma ewing', ""ewing's sarcoma stage unspecified"", ""sarcoma ewing's"", 'ewings tumors', 'sarcoma, ewings', 'sarcoma, ewing', 'ewings tumor', 'tumor, ewing', 'sarcoma, ewing [disease/finding]', ""ewing's sarcoma"", 'ewing tumor', ""ewings's sarcoma"", 'ewing sarcoma', ""ewing's sarcoma (morphologic abnormality)""]"
hodgkins lymphoma,"['hodgkins dis', ""hodgkin's disease nos, unspecified site"", 'granuloma, malignant', 'hodgkin disease [disease/finding]', 'hodgkin lymphoma, no icd-o subtype (morphologic abnormality)', 'hodgkins granuloma', 'hodgkins disease systemic', 'hodgkin granuloma [obs] (morphologic abnormality)', 'disease, hodgkin', ""hodgkin's sarcoma-unspec. site"", ""hodgkin's lymphoma disease"", ""disease, hodgkin's"", ""[m]hodgkin's disease nos (disorder)"", ""hodgkin's disease (diagnosis)"", 'hodgkin sarcoma [obs] (morphologic abnormality)', 'hodgkin paragranuloma, nodular [obs]', ""hodgkin's disease, unspecified"", ""[m]hodgkin's disease nos (& [lymphogranuloma malignant]) (disorder)"", 'hodgkin disease (hd)', ""hodgkin's lymphoma"", 'malignant; granuloma', ""hodgkin's paragranuloma (morphologic abnormality)"", ""lymphomas hodgkin's disease"", 'hodgkin granuloma', ""hodgkin's sarcoma of unspecified site (disorder)"", ""[m]hodgkin's sarcoma"", 'disease; hodgkin', ""hodgkin's disease/lymphoma"", ""hodgkin's granuloma nos"", ""hodgkin's sarcoma nos (disorder)"", ""hodgkin's disease (disorder)"", ""[m]hodgkin's paragranuloma"", 'malignant granulomas', ""hodgkin's granuloma nos (disorder)"", 'lymphogranuloma, malignant', ""hodgkin's paragranuloma nos"", 'hodgins', ""hodgkin's disease (clinical)"", 'lymphogranulomatosis (malignant)', 'hodgkin paragranuloma [obs]', ""hodgkin's paragranuloma, nos"", ""hodgkin's paragranuloma"", ""hodgkin's paragranuloma -retired-"", 'hodgkin; lymphoma', '[m]lymphogranuloma, malignant (morphologic abnormality)', 'hodgkin disease', ""hodgkin's granuloma of unspecified site"", 'granuloma, hodgkins', 'hodgkins diseases', 'lymphoma, hodgkin', ""malignant hodgkin's lymphoma"", 'hodgkins sarcoma', ""hodgkin's dis.nos-unspec. site"", 'lymphoma;hodgkins', ""hodgkin's paragranuloma of unspecified site"", ""hodgkin's granuloma"", ""malignant lymphoma, hodgkin's type"", 'hodgkin sarcoma', ""hodgkin's paragran-unspec site"", 'hodgkin; paragranuloma', ""hodgkin's granuloma (clinical)"", 'lymphogranulomatosis', 'granuloma, hodgkin', ""hodgkin's sarcoma (diagnosis)"", ""[m]hodgkin's disease"", ""hodgkin's paragranuloma (diagnosis)"", 'hodgkin', '[m]lymphogranuloma, malignant', ""hodgkin's paragranuloma (disorder)"", ""hodgkin's paragranuloma of unspecified site (disorder)"", ""[m]hodgkin's disease nos (& [lymphogranuloma malignant])"", ""965-966 hodgkin's disease"", 'hodgkin lymphoma, unspecified', ""hd - hodgkin's disease"", ""hodgkin's lymphomas"", 'hodgkin granuloma [obs]', ""[m]hodgkin's disease nos"", ""[m]hodgkin's granuloma"", ""hodgkin's granuloma (diagnosis)"", 'hodgkin lymphoma, nos', 'granuloma; hodgkin', 'hodgkin sarcoma [obs]', ""granuloma, hodgkin's"", ""hodgkin's disease, unspecified type"", ""hodgkin's paragranuloma, nodular"", 'hodgkin; sarcoma', 'malignant lymphogranuloma', ""hodgkin's sarcoma (disorder)"", 'paragranuloma; hodgkin', 'hodgkin`s disease', 'hodgkins lymphomas', 'malignant granuloma', ""hodgkin's sarcoma nos"", 'hodgkin lymphomas', 'hl', 'hd', ""hodgkin's disease nos (disorder)"", 'hodgkin; granuloma', ""hodgkin's granuloma-unsp. site"", 'hodgkins disease', 'disease, hodgkins', 'hodgkin dis', ""hodgkin's paragranuloma nos (disorder)"", 'hodgkins lymphoma', 'sarcoma;hodgkins', ""hodgkin's sarcoma (clinical)"", ""hodgkin's disease nos, unspecified site (disorder)"", 'lymphogranulomas, malignant', ""hodgkin's lymphoma nos"", ""[m]hodgkin's disease nos (morphologic abnormality)"", ""lymphoma, hodgkin's"", ""[m]hodgkin's paragranuloma (morphologic abnormality)"", 'granuloma; malignant', ""hodgkin's disease, nos"", 'malignant lymphogranulomas', 'lymphoma; hodgkin', 'lymphoma hodgkin', ""hodgkin's disease"", ""hodgkin's sarcoma"", ""malignant lymphoma, hodgkin's"", 'disease;hodgkins', 'malignant lymphogranulomatosis', ""hodgkin's granuloma of unspecified site (disorder)"", ""hodgkin's granuloma (disorder)"", ""hodgkin's sarcoma of unspecified site"", 'lymphogranulomatosis, malignant', 'sarcoma; hodgkin', 'hodgkin lymphoma, no icd-o subtype', 'hodgkin lymphoma', ""hodgkin's disease nos"", ""hodgkin's paragranuloma (clinical)""]"
Lipid levels in hepatitis C treatment,[]
Periodontitis,"['periodontitis nos', 'periodontitis [disease/finding]', 'periodontitides', 'parodontitis', 'periodontitis, nos', 'periodontitis (disorder)', 'periodontitis', 'periodontitis (diagnosis)']"
PR interval,"['p r interval', 'pr interval feature (observable entity)', 'pr interval', 'p-r interval', 'p-r interval (function)', 'pr interval (finding)', 'interval pr', 'p-r interval, nos', 'p-r interval, function (observable entity)', 'pr interval feature', 'ecg: pr interval nos', 'ecg: pr interval nos (finding)', 'pr interval', 'electrocardiogram: p-r interval nos (observable entity)', 'electrocardiogram: pr interval (procedure)', 'electrocardiogram: p-r interval nos', 'electrocardiogram intervals pr', 'finding of ecg pr interval (finding)', 'pr interval - finding', 'pr interval on ecg', 'electrocardiogram: p-r interval', 'electrocardiogram pr interval', 'electrocardiogram: pr interval', 'finding of ecg pr interval', 'ecg: pr interval nos (observable entity)']"
Breast cancer (male),[]
hepatitis C induced liver cirrhosis,[]
homocysteine measurement,"['homocysteine', 'assay of homocystine', 'test;homocysteine', 'homocysteine measurement', 'measurement of homocysteine', 'homocy', 'homocysteine test', 'homocysteine (amino acid) level', 'assay of homocysteine', 'homocysteine measurement (procedure)', 'homocysteine acid measurement']"
Drug-induced liver injury (amoxicillin-clavulanate),[]
intracranial volume,[]
mathematical ability,"['number sense', 'mathematical ability', 'numerical ability']"
neuroimaging measurement,[]
interleukin-6 receptor measurement,[]
Dengue shock syndrome,"['dengue shock syndrome', 'dengue shock syndrome (disorder)']"
stroke,"['cerebrovascular accidents', 'vascular accident, brain', 'accident; cerebral', 'cva unspecified', 'cerebrovascular accident, (cva)', 'vascular brain accident', 'stroke', 'undetermined stroke', 'apoplexy, cerebrovascular', 'apoplexy, nos', 'stroke nos (disorder)', 'apoplexy; cerebral', 'stroke cerebral', 'cerebral vascular accident', 'cerebrovascular accident, nos', 'stroke/cerebrovasc accident', 'cerebrovascular apoplexy', 'stroke, cerebral', 'accident - cerebrovascular', 'stroke and cerebrovascular accident unspecified', 'stroke and cerebrovascular accident unspecified (disorder)', 'cerebrovascular accident (disorder) [ambiguous]', 'stroke, neurological', 'brain attack', 'accident; cerebrovascular', 'brain vascular accidents', 'cerebrovascular accident nos', 'strokes, cerebral', 'stroke [disease/finding]', 'cerebral strokes', 'cva, nos', 'cerebrovascular; accident', 'stroke syndrome', 'cva nos', 'cva (cerebrovascular accident)', 'brain vascular accident', 'cerebrovascular accident (disorder)', 'apoplexy; stroke', 'strokes', 'syndrome, stroke', 'stroke, not specified as haemorrhage or infarction', 'stroke unspecified', 'cerebral apoplexy, nos', 'vascular accidents, brain', 'vascular cerebral accident', 'cerebral apoplexy', 'stroke/cva - undefined', 'stroke/cva unspecified', 'stroke, not specified as hemorrhage or infarction', 'cerebral stroke', 'cva - cerebrovascular accident (& unspecified [& stroke])', 'stroke nos', 'cva - cerebrovascular accident (& unspecified [& stroke]) (disorder)', 'cerebrovascular strokes', 'cerebrovascular accident', 'stroke/cerebrovascular accident', 'cva - cerebrovascular accident', 'stroke, cerebrovascular', 'stroke, nos', 'cerebral; accident', 'cvas (cerebrovascular accident)', 'apoplexy, cerebral', 'cerebral infarction', 'cerebral; apoplexy', 'stroke; apoplectic', 'stroke (cerebrum)', 'cva - cerebrovascular accident unspecified', 'accident cerebrovascular', 'cva (cerebral vascular accident)', 'strokes, cerebrovascular', 'apoplexy', 'cerebrovascular stroke', 'cva, cerebrovascular accident', 'cva']"
